shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
0000000000000000000b,39354,39314,1004386,15109
0000000000000000000q,13743,13703,1005208,16932
0000000000000000000u,16067,16027,1013697,15547
00000000000000000008,51148,51108,1014334,34471
0000000000000000000h,28869,28829,1009234,18378
0000000000000000000i,32654,32614,1005192,7866
0000000000000000000p,49039,48999,1002949,3515
0000000000000000000d,57444,57404,1013396,876
0000000000000000000v,7045,7005,1003069,11986
0000000000000000000f,28554,28514,1006921,525
00000000000000000004,221,181,1011222,27047
0000000000000000000s,43842,43802,1015402,32991
00000000000000000009,43415,43375,1011136,26964
00000000000000000002,37337,37297,1003650,25093
0000000000000000000e,25644,25604,1001754,2367
0000000000000000000t,27714,27674,1012093,16830
00000000000000000001,51558,51518,1013946,2552
00000000000000000007,9682,9642,1008679,17566
0000000000000000000o,33335,33295,1000014,4363
0000000000000000000k,57190,57150,1003147,7067
0000000000000000000c,29926,29886,1009690,10163
0000000000000000000r,32236,32196,1009575,20677
0000000000000000000a,35177,35137,1003707,3684
00000000000000000006,2939,2899,1000490,6895
00000000000000000005,1577,1537,1009645,31051
00000000000000000003,10208,10168,1010610,14117
0000000000000000000l,34979,34939,1014651,16212
0000000000000000000j,55026,54986,1008907,23187
0000000000000000000w,6253,6213,1001960,11086
0000000000000000000m,3541,3501,1006169,21028
0000000000000000000n,47258,47218,1011917,6144
0000000000000000000g,26454,26414,1000780,6422
0000000000000000000b,9084,9044,1001005,29415
0000000000000000000q,36968,36928,1003565,18217
0000000000000000000u,36349,36309,1015043,8382
00000000000000000008,36527,36487,1015054,28384
0000000000000000000h,29630,29590,1005400,30710
0000000000000000000i,56816,56776,1006520,31598
0000000000000000000p,39421,39381,1006807,31553
0000000000000000000d,29957,29917,1010773,14458
0000000000000000000v,39738,39698,1006747,3920
0000000000000000000f,6668,6628,1006316,25661
00000000000000000004,3968,3928,1006766,9776
0000000000000000000s,50589,50549,1005101,4489
00000000000000000009,32532,32492,1015518,30525
00000000000000000002,4444,4404,1010328,12472
0000000000000000000e,8159,8119,1006380,18134
0000000000000000000t,20243,20203,1000330,23335
00000000000000000001,33039,32999,1008675,25099
00000000000000000007,1635,1595,1010954,5174
0000000000000000000o,6818,6778,1004267,1046
0000000000000000000k,40268,40228,1002541,10338
0000000000000000000c,34925,34885,1014663,1721
0000000000000000000r,41958,41918,1009019,16470
0000000000000000000a,43893,43853,1014310,20145
00000000000000000006,12148,12108,1010443,5874
00000000000000000005,30089,30049,1006944,21466
00000000000000000003,36885,36845,1012979,883
0000000000000000000l,16263,16223,1015085,13680
0000000000000000000j,25889,25849,1009251,10461
0000000000000000000w,55312,55272,1000750,31487
0000000000000000000m,52344,52304,1013133,19626
0000000000000000000n,57230,57190,1007206,5261
0000000000000000000g,39606,39566,1012750,22592
0000000000000000000b,38294,38254,1010039,22256
0000000000000000000q,57232,57192,1007765,30526
0000000000000000000u,40090,40050,1001781,27504
00000000000000000008,17878,17838,1003171,16300
0000000000000000000h,16707,16667,1007968,24262
0000000000000000000i,33334,33294,1005174,2059
0000000000000000000p,56948,56908,1001910,26851
0000000000000000000d,52033,51993,1002399,20290
0000000000000000000v,26748,26708,1006687,10033
0000000000000000000f,54322,54282,1012137,27914
00000000000000000004,35891,35851,1011384,6455
0000000000000000000s,15019,14979,1014015,19280
00000000000000000009,24850,24810,1012671,7563
00000000000000000002,3880,3840,1010713,30192
0000000000000000000e,29293,29253,1006153,6245
0000000000000000000t,21339,21299,1000381,11245
00000000000000000001,54245,54205,1002925,21209
00000000000000000007,17257,17217,1007588,32425
0000000000000000000o,5924,5884,1011740,2126
0000000000000000000k,23926,23886,1005162,14477
0000000000000000000c,17780,17740,1000765,3329
0000000000000000000r,29095,29055,1008272,5594
0000000000000000000a,31140,31100,1001523,19517
00000000000000000006,26015,25975,1014169,22973
00000000000000000005,54307,54267,1009862,3858
00000000000000000003,32261,32221,1011648,33609
0000000000000000000l,34077,34037,1003368,33135
0000000000000000000j,36748,36708,1014791,18430
0000000000000000000w,2861,2821,1009377,2141
0000000000000000000m,4128,4088,1003181,18107
0000000000000000000n,2490,2450,1003321,17959
0000000000000000000g,53995,53955,1003417,19325
0000000000000000000b,56760,56720,1009255,15349
0000000000000000000q,25869,25829,1009496,14347
0000000000000000000u,50472,50432,1005155,301
00000000000000000008,4218,4178,1011869,27236
0000000000000000000h,11086,11046,1006586,1254
0000000000000000000i,6150,6110,1003301,3459
0000000000000000000p,15346,15306,1007367,16404
0000000000000000000d,3981,3941,1014867,18797
0000000000000000000v,53735,53695,1001756,1385
0000000000000000000f,14133,14093,1007977,8707
00000000000000000004,10444,10404,1013628,7031
0000000000000000000s,17733,17693,1000296,1451
00000000000000000009,41809,41769,1010430,30113
00000000000000000002,7835,7795,1003405,28245
0000000000000000000e,29864,29824,1001902,14863
0000000000000000000t,17232,17192,1001143,10620
00000000000000000001,2124,2084,1002275,31023
00000000000000000007,4353,4313,1006981,7341
0000000000000000000o,43756,43716,1002516,5427
0000000000000000000k,7061,7021,1008613,13295
0000000000000000000c,53228,53188,1005163,17294
0000000000000000000r,8628,8588,1009194,22541
0000000000000000000a,32585,32545,1007733,29740
00000000000000000006,8243,8203,1003265,10940
00000000000000000005,31502,31462,1013105,22653
00000000000000000003,13616,13576,1011432,10494
0000000000000000000l,41054,41014,1015080,27424
0000000000000000000j,25131,25091,1013932,10956
0000000000000000000w,28712,28672,1007399,7936
0000000000000000000m,38457,38417,1003951,20455
0000000000000000000n,38093,38053,1002867,10023
0000000000000000000g,8590,8550,1008351,25494
0000000000000000000b,7219,7179,1010969,30939
0000000000000000000q,37307,37267,1010684,19922
0000000000000000000u,18384,18344,1004862,20980
00000000000000000008,39156,39116,1001103,17501
0000000000000000000h,20743,20703,1013249,11504
0000000000000000000i,10016,9976,1005921,45
0000000000000000000p,14160,14120,1012003,10890
0000000000000000000d,16978,16938,1004398,20521
0000000000000000000v,27315,27275,1010683,1501
0000000000000000000f,392,352,1007293,1927
00000000000000000004,13950,13910,1006640,11368
0000000000000000000s,842,802,1006591,10344
00000000000000000009,43914,43874,1001087,3173
00000000000000000002,17230,17190,1009100,17998
0000000000000000000e,2892,2852,1001893,3252
0000000000000000000t,19558,19518,1010817,591
00000000000000000001,23255,23215,1009223,10286
00000000000000000007,17902,17862,1009629,21803
0000000000000000000o,22515,22475,1006837,32588
0000000000000000000k,38828,38788,1003286,26380
0000000000000000000c,12327,12287,1001113,17670
0000000000000000000r,54323,54283,1013112,2785
0000000000000000000a,36133,36093,1009571,23034
00000000000000000006,34285,34245,1009305,22709
00000000000000000005,37722,37682,1013816,8419
00000000000000000003,18811,18771,1007026,4387
0000000000000000000l,42487,42447,1011950,12561
0000000000000000000j,51331,51291,1015101,336
0000000000000000000w,12090,12050,1003300,13114
0000000000000000000m,16053,16013,1006438,32060
0000000000000000000n,57241,57201,1014570,5515
0000000000000000000g,42268,42228,1004217,34591
0000000000000000000b,18910,18870,1014701,26553
0000000000000000000q,25796,25756,1002584,25634
0000000000000000000u,32806,32766,1006156,3242
00000000000000000008,29175,29135,1003150,27722
0000000000000000000h,50500,50460,1012505,8523
0000000000000000000i,10994,10954,1010400,25999
0000000000000000000p,50830,50790,1011762,10358
0000000000000000000d,14621,14581,1011456,6561
0000000000000000000v,28537,28497,1014168,26878
0000000000000000000f,48284,48244,1014229,4281
00000000000000000004,49779,49739,1010062,4963
0000000000000000000s,36518,36478,1001626,1010
00000000000000000009,27452,27412,1002113,31873
00000000000000000002,33546,33506,1011090,13035
0000000000000000000e,8249,8209,1004813,29984
0000000000000000000t,37495,37455,1001515,30299
00000000000000000001,48858,48818,1003138,32139
00000000000000000007,13642,13602,1009758,31933
0000000000000000000o,47860,47820,1007170,27555
0000000000000000000k,46508,46468,1005465,15659
0000000000000000000c,44960,44920,1012624,26166
0000000000000000000r,16002,15962,1007738,31983
0000000000000000000a,19362,19322,1013218,5253
00000000000000000006,39703,39663,1002752,27464
00000000000000000005,54291,54251,1004732,33787
00000000000000000003,28389,28349,1001031,6041
0000000000000000000l,9438,9398,1002133,31606
0000000000000000000j,46594,46554,1007767,18257
0000000000000000000w,6707,6667,1006851,18062
0000000000000000000m,13406,13366,1002529,19536
0000000000000000000n,34516,34476,1011759,27571
0000000000000000000g,42983,42943,1014852,19606
0000000000000000000b,38448,38408,1007874,15250
0000000000000000000q,55730,55690,1005210,4063
0000000000000000000u,31361,31321,1005345,31909
00000000000000000008,28058,28018,1003808,21747
0000000000000000000h,56640,56600,1011523,30798
0000000000000000000i,23002,22962,1008022,5738
0000000000000000000p,56679,56639,1006982,30152
0000000000000000000d,6267,6227,1002838,24561
0000000000000000000v,6929,6889,1001705,29416
0000000000000000000f,35334,35294,1012357,18459
00000000000000000004,40933,40893,1008429,446
0000000000000000000s,34265,34225,1008668,7929
00000000000000000009,50676,50636,1005543,18761
00000000000000000002,53586,53546,1012118,31537
0000000000000000000e,57785,57745,1008426,31726
0000000000000000000t,25735,25695,1012196,17399
00000000000000000001,18044,18004,1006312,10432
00000000000000000007,56879,56839,1005212,24469
0000000000000000000o,54667,54627,1006760,21321
0000000000000000000k,19378,19338,1013812,5586
0000000000000000000c,51205,51165,1003141,28691
0000000000000000000r,37211,37171,1009428,9318
0000000000000000000a,17180,17140,1002729,29185
00000000000000000006,47797,47757,1004107,2421
00000000000000000005,56889,56849,1008437,19721
00000000000000000003,57087,57047,1001261,5997
0000000000000000000l,5000,4960,1004912,23323
0000000000000000000j,324,284,1000599,21574
0000000000000000000w,31718,31678,1003930,20752
0000000000000000000m,34779,34739,1004497,21834
0000000000000000000n,6626,6586,1010467,20008
0000000000000000000g,5892,5852,1012438,13361
0000000000000000000b,16182,16142,1009665,33266
0000000000000000000q,6287,6247,1015269,31581
0000000000000000000u,11769,11729,1009787,16491
00000000000000000008,38374,38334,1006935,29510
0000000000000000000h,25069,25029,1002988,32329
0000000000000000000i,56878,56838,1010784,23384
0000000000000000000p,54425,54385,1009409,19494
0000000000000000000d,7633,7593,1007187,17407
0000000000000000000v,37492,37452,1006550,12368
0000000000000000000f,11176,11136,1007080,9997
00000000000000000004,49181,49141,1013068,19202
0000000000000000000s,7230,7190,1015568,12193
00000000000000000009,39969,39929,1002202,10214
00000000000000000002,31847,31807,1010308,4470
0000000000000000000e,2732,2692,1001041,20887
0000000000000000000t,51486,51446,1004734,12929
00000000000000000001,49600,49560,1011182,28725
00000000000000000007,44811,44771,1005722,434
0000000000000000000o,34298,34258,1002240,5025
0000000000000000000k,25366,25326,1015493,16014
0000000000000000000c,28749,28709,1012460,15762
0000000000000000000r,47411,47371,1014989,14290
0000000000000000000a,52061,52021,1013762,24777
00000000000000000006,19759,19719,1008899,940
00000000000000000005,7145,7105,1015135,27474
00000000000000000003,19399,19359,1003824,23023
0000000000000000000l,6505,6465,1012489,2722
0000000000000000000j,4942,4902,1014817,6426
0000000000000000000w,52074,52034,1003325,20975
0000000000000000000m,27800,27760,1004385,18030
0000000000000000000n,17759,17719,1010052,15236
0000000000000000000g,5751,5711,1009107,20392
0000000000000000000b,49012,48972,1003587,34717
0000000000000000000q,50910,50870,1004205,1262
0000000000000000000u,10211,10171,1003526,5395
00000000000000000008,36616,36576,1004055,5551
0000000000000000000h,51168,51128,1011335,20815
0000000000000000000i,28828,28788,1003655,24393
0000000000000000000p,45025,44985,1010257,2929
0000000000000000000d,22548,22508,1014367,8797
0000000000000000000v,46814,46774,1005186,28811
0000000000000000000f,19009,18969,1003055,2429
00000000000000000004,14281,14241,1008850,33376
0000000000000000000s,46260,46220,1007989,2140
00000000000000000009,46919,46879,1008026,17865
00000000000000000002,44419,44379,1004277,23201
0000000000000000000e,39437,39397,1012153,14474
0000000000000000000t,33829,33789,1007610,2603
00000000000000000001,31278,31238,1000109,29908
00000000000000000007,42803,42763,1009548,2748
0000000000000000000o,48377,48337,1010306,29045
0000000000000000000k,23187,23147,1007548,28680
0000000000000000000c,1446,1406,1011756,12961
0000000000000000000r,40283,40243,1005393,25234
0000000000000000000a,38555,38515,1004826,6445
00000000000000000006,20391,20351,1003195,33658
00000000000000000005,24835,24795,1013931,23276
00000000000000000003,250,210,1012449,32624
0000000000000000000l,50860,50820,1012327,34621
0000000000000000000j,33237,33197,1007608,26082
0000000000000000000w,33474,33434,1006685,11655
0000000000000000000m,48971,48931,1000206,20426
0000000000000000000n,40988,40948,1005261,14780
0000000000000000000g,9159,9119,1004594,5612
0000000000000000000b,6772,6732,1011474,16648
0000000000000000000q,29136,29096,1013237,28696
0000000000000000000u,41062,41022,1003017,2129
00000000000000000008,27067,27027,1006532,15203
0000000000000000000h,40379,40339,1013446,21783
0000000000000000000i,42367,42327,1002425,22742
0000000000000000000p,42868,42828,1013829,3399
0000000000000000000d,3789,3749,1003465,22534
0000000000000000000v,7271,7231,1012439,33389
0000000000000000000f,49891,49851,1009907,34737
00000000000000000004,4583,4543,1010614,6102
0000000000000000000s,48312,48272,1002902,27439
00000000000000000009,16641,16601,1002022,32216
00000000000000000002,17362,17322,1013571,5304
0000000000000000000e,15216,15176,1010280,14138
0000000000000000000t,40643,40603,1006943,21294
00000000000000000001,25672,25632,1012364,24406
00000000000000000007,2798,2758,1005013,6075
0000000000000000000o,14707,14667,1012869,12003
0000000000000000000k,49349,49309,1013964,4639
0000000000000000000c,32461,32421,1004602,22605
0000000000000000000r,45688,45648,1013410,958
0000000000000000000a,46526,46486,1002132,31830
00000000000000000006,49316,49276,1015688,2629
00000000000000000005,24475,24435,1003234,20647
00000000000000000003,13133,13093,1002767,34635
0000000000000000000l,55491,55451,1013916,3291
0000000000000000000j,18780,18740,1008019,28343
0000000000000000000w,34985,34945,1003356,29658
0000000000000000000m,56478,56438,1011887,27190
0000000000000000000n,57628,57588,1012309,7391
0000000000000000000g,35919,35879,1003120,33540
0000000000000000000b,54763,54723,1001483,16437
0000000000000000000q,42610,42570,1004514,179
0000000000000000000u,1671,1631,1010729,18022
00000000000000000008,15059,15019,1010807,8746
0000000000000000000h,34530,34490,1014975,16469
0000000000000000000i,46371,46331,1011030,2881
0000000000000000000p,11806,11766,1012061,17823
0000000000000000000d,47328,47288,1009391,13037
0000000000000000000v,43394,43354,1002257,25561
0000000000000000000f,7529,7489,1015255,9497
00000000000000000004,12324,12284,1008458,23752
0000000000000000000s,19944,19904,1005386,3687
00000000000000000009,16664,16624,1003132,18991
00000000000000000002,22928,22888,1012403,21528
0000000000000000000e,38771,38731,1001195,9620
0000000000000000000t,19533,19493,1012949,27971
00000000000000000001,17205,17165,1014454,12963
00000000000000000007,53847,53807,1000101,9760
0000000000000000000o,20944,20904,1006285,33301
0000000000000000000k,1608,1568,1005137,26440
0000000000000000000c,25638,25598,1014738,28422
0000000000000000000r,16316,16276,1012871,2726
0000000000000000000a,38715,38675,1014448,28004
00000000000000000006,30305,30265,1015469,10826
00000000000000000005,23951,23911,1007452,19814
00000000000000000003,39814,39774,1003089,7196
0000000000000000000l,25060,25020,1002596,13902
0000000000000000000j,54700,54660,1003066,32305
0000000000000000000w,27364,27324,1012995,17576
0000000000000000000m,12250,12210,1006138,9134
0000000000000000000n,54773,54733,1012279,10362
0000000000000000000g,45030,44990,1007763,7529
0000000000000000000b,15359,15319,1014581,21964
0000000000000000000q,7127,7087,1002024,15129
0000000000000000000u,15043,15003,1015406,29003
00000000000000000008,30658,30618,1013236,18516
0000000000000000000h,9374,9334,1002775,15511
0000000000000000000i,20018,19978,1002314,16788
0000000000000000000p,34572,34532,1013858,4158
0000000000000000000d,56535,56495,1010080,6206
0000000000000000000v,20459,20419,1008862,1807
0000000000000000000f,41291,41251,1011667,21974
00000000000000000004,51133,51093,1007149,17549
0000000000000000000s,20729,20689,1002915,8805
00000000000000000009,6628,6588,1005168,30747
00000000000000000002,8098,8058,1015022,13290
0000000000000000000e,50019,49979,1008212,16084
0000000000000000000t,28627,28587,1007965,15119
00000000000000000001,17887,17847,1008444,2554
00000000000000000007,18885,18845,1014526,18050
0000000000000000000o,5512,5472,1014946,34229
0000000000000000000k,24225,24185,1012725,27021
0000000000000000000c,52636,52596,1006635,10372
0000000000000000000r,27891,27851,1005381,9949
0000000000000000000a,39781,39741,1001922,7586
00000000000000000006,17074,17034,1015092,22966
00000000000000000005,22145,22105,1000291,23916
00000000000000000003,49291,49251,1013792,23804
0000000000000000000l,18425,18385,1001308,15636
0000000000000000000j,49078,49038,1003878,32660
0000000000000000000w,17496,17456,1004857,3483
0000000000000000000m,24266,24226,1010162,18384
0000000000000000000n,28943,28903,1015105,8278
0000000000000000000g,24554,24514,1007798,3216
0000000000000000000b,32251,32211,1009811,6851
0000000000000000000q,48455,48415,1014281,9928
0000000000000000000u,16119,16079,1012218,2504
00000000000000000008,22348,22308,1008916,5950
0000000000000000000h,6560,6520,1004563,5583
0000000000000000000i,25866,25826,1003972,26826
0000000000000000000p,49746,49706,1007113,9571
0000000000000000000d,28532,28492,1010906,16113
0000000000000000000v,55473,55433,1000065,13424
0000000000000000000f,14424,14384,1015489,12403
00000000000000000004,51905,51865,1012023,1436
0000000000000000000s,50995,50955,1009238,999
00000000000000000009,30781,30741,1006622,3681
00000000000000000002,39140,39100,1002235,20319
0000000000000000000e,57012,56972,1006736,17051
0000000000000000000t,8156,8116,1004552,26219
00000000000000000001,2622,2582,1001310,15553
00000000000000000007,24866,24826,1004985,18568
0000000000000000000o,7752,7712,1006093,4977
0000000000000000000k,32060,32020,1006811,4398
0000000000000000000c,48649,48609,1008877,32363
0000000000000000000r,52118,52078,1013561,31612
0000000000000000000a,2538,2498,1004018,6114
00000000000000000006,4538,4498,1002308,10521
00000000000000000005,13010,12970,1003096,33361
00000000000000000003,38687,38647,1013501,26849
0000000000000000000l,52335,52295,1010299,15141
0000000000000000000j,55052,55012,1003108,3432
0000000000000000000w,12545,12505,1015603,30520
0000000000000000000m,26160,26120,1004866,19661
0000000000000000000n,20891,20851,1005314,27461
0000000000000000000g,45832,45792,1005856,17598
0000000000000000000b,1523,1483,1013764,27807
0000000000000000000q,47848,47808,1000842,29093
0000000000000000000u,43761,43721,1003517,24150
00000000000000000008,13294,13254,1004848,17541
0000000000000000000h,7412,7372,1001246,26897
0000000000000000000i,20897,20857,1001282,8879
0000000000000000000p,47284,47244,1009994,17389
0000000000000000000d,32746,32706,1012497,8012
0000000000000000000v,14655,14615,1001065,692
0000000000000000000f,36765,36725,1010228,25073
00000000000000000004,7770,7730,1001244,31123
0000000000000000000s,45780,45740,1000798,31541
00000000000000000009,37042,37002,1007308,32694
00000000000000000002,54257,54217,1014312,11711
0000000000000000000e,20161,20121,1002992,33978
0000000000000000000t,30935,30895,1010384,22430
00000000000000000001,46761,46721,1012612,27898
00000000000000000007,6183,6143,1015683,9058
0000000000000000000o,47901,47861,1008905,17161
0000000000000000000k,47560,47520,1009297,28304
0000000000000000000c,26108,26068,1012247,9941
0000000000000000000r,8307,8267,1009241,5650
0000000000000000000a,594,554,1015128,18555
00000000000000000006,34105,34065,1001659,22422
00000000000000000005,43524,43484,1001225,25962
00000000000000000003,22853,22813,1004915,27134
0000000000000000000l,20621,20581,1000827,27906
0000000000000000000j,25312,25272,1008453,5625
0000000000000000000w,15681,15641,1010083,12618
0000000000000000000m,34892,34852,1007741,11703
0000000000000000000n,33972,33932,1007520,32042
0000000000000000000g,11338,11298,1007043,3888
0000000000000000000b,34075,34035,1004114,20958
0000000000000000000q,36264,36224,1001650,23168
0000000000000000000u,4288,4248,1000848,6488
00000000000000000008,28026,27986,1004969,4108
0000000000000000000h,22977,22937,1002221,34140
0000000000000000000i,50629,50589,1008181,14981
0000000000000000000p,42212,42172,1011820,25294
0000000000000000000d,5358,5318,1010685,20965
0000000000000000000v,34050,34010,1005832,8684
0000000000000000000f,30214,30174,1011061,1465
00000000000000000004,1929,1889,1014991,26643
0000000000000000000s,57166,57126,1010290,29262
00000000000000000009,24118,24078,1014156,2769
00000000000000000002,26742,26702,1008917,14212
0000000000000000000e,29057,29017,1012266,7380
0000000000000000000t,21944,21904,1007456,23746
00000000000000000001,649,609,1004057,19026
00000000000000000007,47415,47375,1009431,4154
0000000000000000000o,23318,23278,1006694,5238
0000000000000000000k,33148,33108,1011273,13016
0000000000000000000c,11936,11896,1013606,16019
0000000000000000000r,56486,56446,1014914,8573
0000000000000000000a,4416,4376,1008839,20101
00000000000000000006,47021,46981,1009910,20357
00000000000000000005,12785,12745,1000418,26247
00000000000000000003,40913,40873,1000912,33313
0000000000000000000l,14604,14564,1014789,29327
0000000000000000000j,24423,24383,1003490,18522
0000000000000000000w,549,509,1011191,17255
0000000000000000000m,23215,23175,1007900,13745
0000000000000000000n,8222,8182,1011502,26191
0000000000000000000g,56315,56275,1006572,3710
0000000000000000000b,18182,18142,1012501,27765
0000000000000000000q,36256,36216,1008703,18929
0000000000000000000u,27786,27746,1005822,24701
00000000000000000008,14371,14331,1008641,24165
0000000000000000000h,55548,55508,1013240,32898
0000000000000000000i,32574,32534,1003743,23249
0000000000000000000p,54847,54807,1005538,26090
0000000000000000000d,20900,20860,1011936,13591
0000000000000000000v,48010,47970,1001582,19447
0000000000000000000f,8432,8392,1009199,6033
00000000000000000004,30844,30804,1013470,6013
0000000000000000000s,54386,54346,1014368,34769
00000000000000000009,51379,51339,1008543,13846
00000000000000000002,23706,23666,1004690,4433
0000000000000000000e,27041,27001,1002649,6424
0000000000000000000t,34087,34047,1011641,3850
00000000000000000001,39168,39128,1011437,31673
00000000000000000007,23490,23450,1010618,17358
0000000000000000000o,58,18,1000793,510
0000000000000000000k,4396,4356,1006418,23417
0000000000000000000c,54162,54122,1002646,6193
0000000000000000000r,5763,5723,1006208,7860
0000000000000000000a,51759,51719,1002050,2063
00000000000000000006,15663,15623,1006439,13908
00000000000000000005,17965,17925,1013533,18294
00000000000000000003,37761,37721,1010984,27016
0000000000000000000l,28249,28209,1008547,17561
0000000000000000000j,26414,26374,1006068,11552
0000000000000000000w,20641,20601,1005240,11033
0000000000000000000m,40812,40772,1007593,17229
0000000000000000000n,46077,46037,1004551,18885
0000000000000000000g,40661,40621,1001068,6698
0000000000000000000b,30028,29988,1007320,20868
0000000000000000000q,56920,56880,1012530,7306
0000000000000000000u,20430,20390,1003774,3225
00000000000000000008,34273,34233,1013040,2653
0000000000000000000h,27178,27138,1001664,15704
0000000000000000000i,41342,41302,1002435,254
0000000000000000000p,37807,37767,1000949,3961
0000000000000000000d,39381,39341,1015572,19766
0000000000000000000v,20277,20237,1002005,23152
0000000000000000000f,24155,24115,1013929,2616
00000000000000000004,35696,35656,1002885,33054
0000000000000000000s,28534,28494,1008508,16385
00000000000000000009,35449,35409,1003353,3808
00000000000000000002,30508,30468,1011161,21509
0000000000000000000e,10592,10552,1000640,5022
0000000000000000000t,53549,53509,1004601,15288
00000000000000000001,48831,48791,1013168,29169
00000000000000000007,7108,7068,1006473,2070
0000000000000000000o,10445,10405,1014839,925
0000000000000000000k,17975,17935,1006058,23844
0000000000000000000c,40181,40141,1011508,32920
0000000000000000000r,13871,13831,1006983,8631
0000000000000000000a,47043,47003,1012262,22913
00000000000000000006,1154,1114,1014868,20777
00000000000000000005,38380,38340,1010185,27884
00000000000000000003,43361,43321,1015036,178
0000000000000000000l,34251,34211,1003993,24080
0000000000000000000j,41796,41756,1013642,27186
0000000000000000000w,4689,4649,1001024,317
0000000000000000000m,25065,25025,1009176,28564
0000000000000000000n,55910,55870,1008582,12281
0000000000000000000g,20175,20135,1014343,2908
0000000000000000000b,50807,50767,1004268,3715
0000000000000000000q,29438,29398,1015148,13444
0000000000000000000u,14143,14103,1013928,10797
00000000000000000008,12864,12824,1008610,12796
0000000000000000000h,3355,3315,1001687,16077
0000000000000000000i,2246,2206,1008001,5183
0000000000000000000p,33877,33837,1002706,28107
0000000000000000000d,41338,41298,1010869,1690
0000000000000000000v,3557,3517,1003625,8968
0000000000000000000f,51130,51090,1008793,6796
00000000000000000004,45043,45003,1006396,17497
0000000000000000000s,43945,43905,1005546,34148
00000000000000000009,24732,24692,1001839,1796
00000000000000000002,18948,18908,1003529,34620
0000000000000000000e,22665,22625,1007595,24858
0000000000000000000t,21753,21713,1007907,15456
00000000000000000001,54430,54390,1013196,3226
00000000000000000007,444,404,1009468,21797
0000000000000000000o,13427,13387,1008757,21402
0000000000000000000k,39598,39558,1002111,4443
0000000000000000000c,5254,5214,1010606,12186
0000000000000000000r,43577,43537,1010497,12713
0000000000000000000a,35679,35639,1014824,1797
00000000000000000006,24420,24380,1015156,34862
00000000000000000005,47529,47489,1010796,28292
00000000000000000003,11062,11022,1012313,1816
0000000000000000000l,37653,37613,1014416,1267
0000000000000000000j,2113,2073,1000391,6605
0000000000000000000w,1691,1651,1004508,3616
0000000000000000000m,30507,30467,1005156,33059
0000000000000000000n,15902,15862,1011178,38
0000000000000000000g,38530,38490,1004754,9196
0000000000000000000b,14341,14301,1014671,25366
0000000000000000000q,22518,22478,1008108,20293
0000000000000000000u,39554,39514,1013430,10759
00000000000000000008,28516,28476,1008438,3600
0000000000000000000h,18476,18436,1013341,24076
0000000000000000000i,53556,53516,1005123,26218
0000000000000000000p,50525,50485,1005858,24507
0000000000000000000d,17044,17004,1003030,30517
0000000000000000000v,14885,14845,1007566,20077
0000000000000000000f,56541,56501,1008528,5601
00000000000000000004,25340,25300,1013935,7124
0000000000000000000s,22457,22417,1006297,23957
00000000000000000009,24792,24752,1007884,9413
00000000000000000002,32683,32643,1007630,27496
0000000000000000000e,47344,47304,1008860,27438
0000000000000000000t,47266,47226,1002913,30828
00000000000000000001,28390,28350,1004684,22856
00000000000000000007,39634,39594,1005557,30987
0000000000000000000o,13495,13455,1013349,11165
0000000000000000000k,56054,56014,1009534,1849
0000000000000000000c,55023,54983,1006918,6962
0000000000000000000r,5527,5487,1001645,10337
0000000000000000000a,27855,27815,1009559,1479
00000000000000000006,31069,31029,1012968,13558
00000000000000000005,8833,8793,1004175,27960
00000000000000000003,27883,27843,1010079,318
0000000000000000000l,37845,37805,1002375,22794
0000000000000000000j,48577,48537,1009847,15983
0000000000000000000w,45643,45603,1003847,332
0000000000000000000m,35636,35596,1004682,24863
0000000000000000000n,14014,13974,1001616,16666
0000000000000000000g,48827,48787,1002945,33052
0000000000000000000b,6140,6100,1012428,20926
0000000000000000000q,29724,29684,1007245,29773
0000000000000000000u,13327,13287,1014233,4850
00000000000000000008,15398,15358,1003248,26880
0000000000000000000h,16565,16525,1004558,4765
0000000000000000000i,41109,41069,1002762,20516
0000000000000000000p,38441,38401,1009802,24177
0000000000000000000d,48740,48700,1010152,3379
0000000000000000000v,1197,1157,1009871,17694
0000000000000000000f,56557,56517,1009341,330
00000000000000000004,52102,52062,1002023,25541
0000000000000000000s,35519,35479,1012857,19747
00000000000000000009,29865,29825,1011060,28616
00000000000000000002,17474,17434,1013516,24865
0000000000000000000e,18942,18902,1014111,17150
0000000000000000000t,43561,43521,1014519,29246
00000000000000000001,31807,31767,1013252,11363
00000000000000000007,46819,46779,1006647,7139
0000000000000000000o,20219,20179,1008285,27587
0000000000000000000k,27545,27505,1004669,23848
0000000000000000000c,56052,56012,1015354,4334
0000000000000000000r,54539,54499,1015316,8762
0000000000000000000a,52656,52616,1006120,20341
00000000000000000006,32731,32691,1006556,22375
00000000000000000005,11025,10985,1000731,14588
00000000000000000003,6281,6241,1005873,30191
0000000000000000000l,10317,10277,1014026,6003
0000000000000000000j,44214,44174,1013180,27809
0000000000000000000w,28569,28529,1006732,29577
0000000000000000000m,3851,3811,1001132,2563
0000000000000000000n,22275,22235,1003071,20228
0000000000000000000g,31517,31477,1013511,2879
0000000000000000000b,17246,17206,1014468,698
0000000000000000000q,21996,21956,1000910,28405
0000000000000000000u,13233,13193,1005121,18563
00000000000000000008,11714,11674,1006986,2464
